genre,artist,play_count,total_minutes
Other,Erik Jonasson,23,75.0
Other,Erik Satie,27,86.8
Other,Eros Ramaotti,43,154.0
Other,Eruca Sativa,293,598.5
Other,Escala,6,2.8
Other,Estopa,5,3.4
Other,Eterna Inocencia,16,37.0
Other,Etham,8,22.2
Other,Europe,79,253.2
Other,Eurythmics,92,276.9
Other,Evanescence,99,256.9
Other,Evans Blue,35,90.2
Other,Eve 6,8,26.9
Other,Evergrey,30,90.6
Other,Evol Intent,7,30.1
Other,Excision,11,28.2
Other,Explosions In The Sky,20,131.2
Other,Extreme,58,138.9
Other,FINNEAS,1140,2893.6
Other,FLETCHER,15,32.0
Other,FPS Allstars,12,1.4
Other,Fabiana Cantilo,5,0.1
Other,Fabriio Paterlini,6,18.8
Other,Facundo Arana,5,4.0
Other,Facundo Toro,35,80.8
Other,Fair To Midland,21,68.0
Other,Faith No More,53,100.8
Other,Fall Out Boy,261,705.2
Other,Falling In Reverse,9,26.4
Other,Famous Last Words,33,82.4
Other,Fastball,7,27.2
Other,Fates Warning,7,28.0
Other,Fear Factory,15,16.6
Other,Federico Mompou,10,34.6
Other,Feed Me,9,29.9
Other,Feeder,12,36.5
Other,Felix Mendelssohn,9,29.9
Other,Fenne Lily,5,2.9
Other,Fergie,7,9.6
Other,Fever Ray,12,31.2
Other,Fifth Harmony,11,22.4
Other,Filter,24,51.1
Other,Fine Young Cannibals,6,21.2
Other,Finger Eleven,7,16.3
Other,Firewind,5,3.5
Other,Fish,5,15.7
Other,Fito Pae,1484,3967.9
Other,Five Finger Death Punch,51,126.8
Other,Flaw,17,36.8
Other,Fleetwood Mac,29,83.6
Other,Fleurie,26,80.8
Other,Flight Facilities,5,8.6
Other,Florence + The Machine,27,63.8
Other,Flume,34,81.8
Other,Flying Colors,65,263.8
Other,Flyleaf,93,210.4
Other,Foals,60,131.4
Other,Foo Fighters,210,701.0
Other,For My Pain...,11,19.3
Other,Foreigner,28,83.3
Other,Foster The People,78,209.4
Other,Foudroie,7,23.2
Other,Fountains Of Wayne,8,18.4
Other,Framing Hanley,74,164.8
Other,Fran Ferdinand,73,174.7
Other,Fran List,25,108.3
Other,Francesco da Milano,24,4.1
Other,Francisco Bochatón,12,9.7
Other,Francisco Tárrega,5,15.9
Other,Frank Sinatra,114,263.4
Other,Frank Turner,50,69.9
Other,Frank appa,37,86.9
Other,Frankie Goes To Hollywood,44,133.8
Other,Freddie Mercury,9,31.1
Other,Frost*,11,33.6
Other,Frédéric Chopin,641,2182.1
Other,Fuel,127,333.1
Other,Fughu,8,32.2
Other,Future World Music,22,49.8
Other,GROUPLOVE,6,8.4
Other,Gabriel Fauré,5,12.2
Other,Gabrielle Aplin,58,128.6
Other,Gail Singleton,5,0.0
Other,Galahad,5,28.1
Other,Galantis,20,16.0
Other,Gamma Ray,5,12.2
Other,Gapacho,537,1532.3
Other,Garbage,24,35.7
Other,Gary Barlow,9,26.3
Other,Gary Jules,20,33.2
Other,Gary Moore,13,52.9
Other,Gary Numan,7,18.5
Other,Gavin DeGraw,5,2.5
Other,Gavin James,18,46.1
Other,Geir Gudmundson,8,0.0
Other,Gene Loves Jeebel,8,14.0
Other,Genesis,530,1688.2
Other,Gentle Giant,138,231.3
Other,George Era,9,18.5
Other,George Fenton,5,7.8
